id	unitCode	title	record_ID	metadata_usage	data_source	object_type	Date
edanmdm-nmah_1452166	NMAH	Part of Mold	nmah_1452166	{'access': 'CC0'}	National Museum of American History	['mold, butter/cheese, part of']	1800 - 1900
edanmdm-nmah_1314014	NMAH	Model Truck from the “Futurama” Exhibition at the 1939-1940 New York World’s Fair	nmah_1314014	{'access': 'CC0'}	National Museum of American History	['Model Truck']	1939-1940
edanmdm-nmah_209276	NMAH	Dr. Drake's Glessco Cough & Croup Remedy	nmah_209276	{'access': 'CC0'}	National Museum of American History	['Medicine', 'Drugs']	after 1948
edanmdm-nmah_648464	NMAH	Probably parts for Spinning Frame T02338.000	nmah_648464	{'access': 'CC0'}	National Museum of American History	['Spinning Machine Parts, Batch of']	
edanmdm-nmah_1377036	NMAH	button	nmah_1377036	{'access': 'CC0'}	National Museum of American History	['button']	
edanmdm-nmah_1379344	NMAH	button	nmah_1379344	{'access': 'CC0'}	National Museum of American History	['button']	
edanmdm-nmah_1156491	NMAH	Throttle Valve	nmah_1156491	{'access': 'CC0'}	National Museum of American History	['Throttle Valve']	
edanmdm-nmah_709664	NMAH	"Plantronics ""VuSet"" Visual Data Terminal"	nmah_709664	{'access': 'CC0'}	National Museum of American History	['Data Terminal']	Santa Cruz, California
edanmdm-nmah_749429	NMAH	"Engraved woodblock of an ""Iroquois mask"""	nmah_749429	{'access': 'CC0'}	National Museum of American History	['Wood Engraving', 'block']	1884
edanmdm-nmah_1817313	NMAH	Reciprocating Armature Engine	nmah_1817313	{'access': 'CC0'}	National Museum of American History	['Reciprocating Armature Engine', 'reciprocating armature engine']	mid-nineteenth century
edanmdm-nmah_1342831	NMAH	needle holder; surgical set	nmah_1342831	{'access': 'CC0'}	National Museum of American History	['Needle cases', 'surgical set']	1871-1874
edanmdm-nmah_1008489	NMAH	US Model 1808/1809 Contract Flintlock Musket	nmah_1008489	{'access': 'CC0'}	National Museum of American History	['Muskets', 'musket, flintlock']	1809
edanmdm-nmah_680096	NMAH	plate holder, ice cream	nmah_680096	{'access': 'CC0'}	National Museum of American History	['Plate Holder, Ice Cream']	
edanmdm-nmah_1429763	NMAH	linen tracing	nmah_1429763	{'access': 'CC0'}	National Museum of American History	['linen tracing']	
edanmdm-nmah_209685	NMAH	Mercurous Iodide Yellow	nmah_209685	{'access': 'CC0'}	National Museum of American History	['Drugs', 'pharmaceutical']	
edanmdm-nmah_209731	NMAH	syringe	nmah_209731	{'access': 'CC0'}	National Museum of American History	['syringe', 'Syringe']	
edanmdm-nmah_681156	NMAH	Jail Cook Police Badge	nmah_681156	{'access': 'CC0'}	National Museum of American History	['Badges']	
edanmdm-nmah_1105413	NMAH	1 Dollar, Proof, United States, 1983	nmah_1105413	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1983
edanmdm-nmah_1388706	NMAH	5,000 Dollars, Gold Certificate, United States, 1928	nmah_1388706	{'access': 'CC0'}	National Museum of American History	['note']	1928
edanmdm-nmah_1020386	NMAH	Trojan Horse	nmah_1020386	{'access': 'CC0'}	National Museum of American History	['Prints']	1773
edanmdm-nmah_1020830	NMAH	Costume	nmah_1020830	{'access': 'CC0'}	National Museum of American History	['Prints']	
edanmdm-nmah_1021770	NMAH	Psyche	nmah_1021770	{'access': 'CC0'}	National Museum of American History	['Prints']	
edanmdm-nmah_1021646	NMAH	Miracles Of The Virgin	nmah_1021646	{'access': 'CC0'}	National Museum of American History	['Prints']	
edanmdm-nmah_875420	NMAH	dress, 2-piece	nmah_875420	{'access': 'CC0'}	National Museum of American History	['Entire Body', 'Dresses (garments)', 'Girl']	1863-1865
edanmdm-nmah_1073083	NMAH	chenille making machine	nmah_1073083	{'access': 'CC0'}	National Museum of American History	['Chenille Making Machine']	
edanmdm-nmah_1314144	NMAH	box	nmah_1314144	{'access': 'CC0'}	National Museum of American History	['Boxes (containers)']	1939-1940
edanmdm-nmah_1314203	NMAH	thermometer	nmah_1314203	{'access': 'CC0'}	National Museum of American History	['Thermometers']	1939-1940
edanmdm-nmah_1314429	NMAH	pendant	nmah_1314429	{'access': 'CC0'}	National Museum of American History	['Pendants (jewelry)']	1939-1940
edanmdm-nmah_1314717	NMAH	ashtray	nmah_1314717	{'access': 'CC0'}	National Museum of American History	['Ashtrays']	1939-1940
edanmdm-nmah_1314722	NMAH	ashtray	nmah_1314722	{'access': 'CC0'}	National Museum of American History	['Ashtrays']	1939-1940
edanmdm-nmah_1314948	NMAH	scarf	nmah_1314948	{'access': 'CC0'}	National Museum of American History	['Scarves (costume accessories)']	1939-1940
edanmdm-nmah_1315002	NMAH	Scarf Commemorating the Golden Gate International Exposition held in San Francisco, 1939-1940	nmah_1315002	{'access': 'CC0'}	National Museum of American History	['Scarves (costume accessories)']	1939-1940
edanmdm-nmah_1315016	NMAH	necktie	nmah_1315016	{'access': 'CC0'}	National Museum of American History	['Neckwear']	1939-1940
edanmdm-nmah_1315073	NMAH	seat/cane	nmah_1315073	{'access': 'CC0'}	National Museum of American History	['Seat/Cane']	1939-1940
edanmdm-nmah_1315335	NMAH	tray	nmah_1315335	{'access': 'CC0'}	National Museum of American History	['Trays']	1967
edanmdm-nmah_1315362	NMAH	spoon	nmah_1315362	{'access': 'CC0'}	National Museum of American History	['Spoons']	1939-1940
edanmdm-nmah_1315729	NMAH	clock w/ stand	nmah_1315729	{'access': 'CC0'}	National Museum of American History	['Clock w/ Stand']	1939-1940
edanmdm-nmah_1075738	NMAH	coin	nmah_1075738	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	
edanmdm-nmah_1160789	NMAH	fragments, pipe	nmah_1160789	{'access': 'CC0'}	National Museum of American History	['fragments, pipe', 'Fragment, Pipe']	19th century
edanmdm-nmah_1078920	NMAH	thread box	nmah_1078920	{'access': 'CC0'}	National Museum of American History	['Thread Box']	
edanmdm-nmah_1072644	NMAH	Power Spraying Ddt	nmah_1072644	{'access': 'CC0'}	National Museum of American History	['Phonograph records']	
edanmdm-nmah_1161559	NMAH	card	nmah_1161559	{'access': 'CC0'}	National Museum of American History	['Cards (information artifacts)']	
edanmdm-nmah_541564	NMAH	poster	nmah_541564	{'access': 'CC0'}	National Museum of American History	['Posters']	
edanmdm-nmah_899811	NMAH	glass plate negative	nmah_899811	{'access': 'CC0'}	National Museum of American History	['Photographs']	
edanmdm-nmah_900278	NMAH	glass plate negative	nmah_900278	{'access': 'CC0'}	National Museum of American History	['Photographs']	
edanmdm-nmah_901539	NMAH	glass plate negative	nmah_901539	{'access': 'CC0'}	National Museum of American History	['Photographs']	
edanmdm-nmah_901719	NMAH	glass plate negative	nmah_901719	{'access': 'CC0'}	National Museum of American History	['Photographs']	
edanmdm-nmah_1878972	NMAH	chest	nmah_1878972	{'access': 'CC0'}	National Museum of American History	['Chests']	
edanmdm-nmah_1084232	NMAH	1 Dollar, United States, 1881	nmah_1084232	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1881
edanmdm-nmah_1084743	NMAH	1 Dollar, United States, 1884	nmah_1084743	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1884
edanmdm-nmah_749389	NMAH	Sign Language Among North American Indians Compared With That Among Other Peoples And Deaf-Mutes, By Garrick Mallery. Pp. 263-552, Figs. 61-346.	nmah_749389	{'access': 'CC0'}	National Museum of American History	['Block']	
edanmdm-nmah_749497	NMAH	block	nmah_749497	{'access': 'CC0'}	National Museum of American History	['Block']	
edanmdm-nmah_749932	NMAH	Ancient Art Of The Province Of Chiriqui, Colombia, By William H. Holmes. Pp. 3-187, Pl. I (Map), Figs. 1-285.	nmah_749932	{'access': 'CC0'}	National Museum of American History	['Block']	
edanmdm-nmah_750040	NMAH	Illustrated Catalogue Of The Collections Obtained From The Indians Of New Mexico And Arizona In 1879, By James Stevenson. Pp. 307-422, Figs. 347-697, Map.	nmah_750040	{'access': 'CC0'}	National Museum of American History	['Block']	
edanmdm-nmah_750155	NMAH	Illustrated Catalogue Of The Collections Obtained From The Indians Of New Mexico And Arizona In 1879, By James Stevenson. Pp. 307-422, Figs. 347-697, Map.	nmah_750155	{'access': 'CC0'}	National Museum of American History	['Block']	
edanmdm-nmah_750268	NMAH	Ancient Pottery Of The Mississippi Valley, By William H. Holmes. Pp. 361-436, Figs. 361-463.	nmah_750268	{'access': 'CC0'}	National Museum of American History	['Block']	
edanmdm-nmah_750413	NMAH	Bird's-eye view of the Terrace Canons	nmah_750413	{'access': 'CC0'}	National Museum of American History	['Block', 'block, engraved wood']	ca 1875
edanmdm-nmah_750835	NMAH	Section through Echo Cliffs	nmah_750835	{'access': 'CC0'}	National Museum of American History	['Block', 'block, engraved wood']	ca 1875
edanmdm-nmah_1142340	NMAH	book, ration	nmah_1142340	{'access': 'CC0'}	National Museum of American History	['Book, Ration']	
edanmdm-nmah_521671	NMAH	photograph	nmah_521671	{'access': 'CC0'}	National Museum of American History	['Photographs']	
edanmdm-nmah_663229	NMAH	watch	nmah_663229	{'access': 'CC0'}	National Museum of American History	['Watches']	
edanmdm-nmah_1303973	NMAH	Line Cut	nmah_1303973	{'access': 'CC0'}	National Museum of American History	['Prints', 'Photomechanical Relief Processes']	
edanmdm-nmah_638683	NMAH	fabric, tartan	nmah_638683	{'access': 'CC0'}	National Museum of American History	['Fabric, Tartan']	
edanmdm-nmah_643090	NMAH	fabric sample	nmah_643090	{'access': 'CC0'}	National Museum of American History	['Fabric Sample']	
edanmdm-nmah_643247	NMAH	fabric sample	nmah_643247	{'access': 'CC0'}	National Museum of American History	['Fabric Sample']	
edanmdm-nmah_643376	NMAH	"""Winding Thread from Skeins to Bobbins--Cheney Brothers' Factory""; Photograph, 1915"	nmah_643376	{'access': 'CC0'}	National Museum of American History	['Photographs']	1915
edanmdm-nmah_645712	NMAH	lace, machine	nmah_645712	{'access': 'CC0'}	National Museum of American History	['Lace, Machine']	
edanmdm-nmah_646790	NMAH	sarong	nmah_646790	{'access': 'CC0'}	National Museum of American History	['Sarongs']	
edanmdm-nmah_633458	NMAH	fabric	nmah_633458	{'access': 'CC0'}	National Museum of American History	['Cloth']	
edanmdm-nmah_632877	NMAH	fabric	nmah_632877	{'access': 'CC0'}	National Museum of American History	['Cloth']	
edanmdm-nmah_632356	NMAH	fabric, printed	nmah_632356	{'access': 'CC0'}	National Museum of American History	['Fabric, Printed']	
edanmdm-nmah_632192	NMAH	fabric	nmah_632192	{'access': 'CC0'}	National Museum of American History	['Cloth']	
edanmdm-nmah_633145	NMAH	fabric, printed	nmah_633145	{'access': 'CC0'}	National Museum of American History	['Fabric, Printed']	
edanmdm-nmah_633140	NMAH	fabric	nmah_633140	{'access': 'CC0'}	National Museum of American History	['Cloth']	
edanmdm-nmah_631365	NMAH	fabric, printed	nmah_631365	{'access': 'CC0'}	National Museum of American History	['Fabric, Printed']	
edanmdm-nmah_534599	NMAH	ribbon	nmah_534599	{'access': 'CC0'}	National Museum of American History	['Ribbon (material)']	
edanmdm-nmah_680086	NMAH	pinball machine	nmah_680086	{'access': 'CC0'}	National Museum of American History	['Pinball Machine']	1933-1935
edanmdm-nmah_679975	NMAH	Tell Me; The Vamp	nmah_679975	{'access': 'CC0'}	National Museum of American History	['Phonograph records']	1919
edanmdm-nmah_534426	NMAH	button	nmah_534426	{'access': 'CC0'}	National Museum of American History	['Button']	
edanmdm-nmah_1097106	NMAH	letter	nmah_1097106	{'access': 'CC0'}	National Museum of American History	['Correspondence']	
edanmdm-nmah_1451155	NMAH	power cord	nmah_1451155	{'access': 'CC0'}	National Museum of American History	['power cord']	
edanmdm-nmah_532007	NMAH	Cnn ((/)) Cable News Network ((/)) Working Press	nmah_532007	{'access': 'CC0'}	National Museum of American History	['Signs (declaratory or advertising artifacts)']	
edanmdm-nmah_532017	NMAH	photograph	nmah_532017	{'access': 'CC0'}	National Museum of American History	['Photographs']	
edanmdm-nmah_846166	NMAH	Barnett's Gas Engine, Model	nmah_846166	{'access': 'CC0'}	National Museum of American History	['engine, internal combustion, model', 'Engine, Internal Combustion']	1838
edanmdm-nmah_431586	NMAH	insignia	nmah_431586	{'access': 'CC0'}	National Museum of American History	['Insignia; Army; Distinctive; Maintenance; Bn 176', 'Insignias']	
edanmdm-nmah_310173	NMAH	ornament, christmas tree	nmah_310173	{'access': 'CC0'}	National Museum of American History	['ornament, christmas tree', 'Ornaments', 'Ornament; Decorations']	ca 1918
edanmdm-nmah_668452	NMAH	The Infantry-Kings of the Highway; Sabre and Spurs	nmah_668452	{'access': 'CC0'}	National Museum of American History	['sound recording; 78 rpm', 'Sound recordings']	1942
edanmdm-nmah_674240	NMAH	Morning, Cy; Harlequin's Serenade	nmah_674240	{'access': 'CC0'}	National Museum of American History	['Sound Recording; Phonorecord; 78 Rpm', 'Sound recordings']	1909
edanmdm-nmah_674172	NMAH	<i>l barbiere di Siviglia</i> - Una voce poco fa	nmah_674172	{'access': 'CC0'}	National Museum of American History	['Sound recordings', 'Phonorecord; 78 Rpm']	1917
edanmdm-nmah_460271	NMAH	shoe	nmah_460271	{'access': 'CC0'}	National Museum of American History	['Shoes (footwear)', 'Shoe; Man; Marine Corps; Field']	
edanmdm-nmah_800332	NMAH	December	nmah_800332	{'access': 'CC0'}	National Museum of American History	['Silkscreen', 'Print; Linoleum Cut', 'Prints']	c. 1960
edanmdm-nmah_841191	NMAH	spark plug	nmah_841191	{'access': 'CC0'}	National Museum of American History	['Spark Plug; Road', 'Spark Plug']	
edanmdm-nmah_841185	NMAH	spark plug	nmah_841185	{'access': 'CC0'}	National Museum of American History	['Spark Plug; Road', 'Spark Plug']	
edanmdm-nmah_841399	NMAH	spark plug, porcelain core	nmah_841399	{'access': 'CC0'}	National Museum of American History	['Spark Plug, Porcelain Core', 'Spark Plug, Porcelain Core; Road']	
edanmdm-nmah_957431	NMAH	Maria Montessori Medal, United States, 1974	nmah_957431	{'access': 'CC0'}	National Museum of American History	['medal; personal', 'Medals']	1974
edanmdm-nmah_1835346	NMAH	A Vindication on the Rights of Woman	nmah_1835346	{'access': 'CC0'}	National Museum of American History	['Books']	1792
edanmdm-nmah_662698	NMAH	Cuban Moon; In Old Manila	nmah_662698	{'access': 'CC0'}	National Museum of American History	['Sound recordings', 'Phonorecord; Sound Recording; 78 Rpm']	1920
edanmdm-nmah_789746	NMAH	John Mabuse	nmah_789746	{'access': 'CC0'}	National Museum of American History	['Print; Intaglio; Engraving', 'Prints']	
edanmdm-nmah_673601	NMAH	Jerry Snyder	nmah_673601	{'access': 'CC0'}	National Museum of American History	['Card, Baseball']	1955
edanmdm-nmah_667779	NMAH	slate	nmah_667779	{'access': 'CC0'}	National Museum of American History	['Slate (rock)']	
edanmdm-nmah_1850697	NMAH	weathervane, silhouette, metal	nmah_1850697	{'access': 'CC0'}	National Museum of American History	['weathervane, silhouette, metal']	
edanmdm-nmah_658223	NMAH	shawl	nmah_658223	{'access': 'CC0'}	National Museum of American History	['Shawls']	
edanmdm-nmah_1973265	NMAH	stencil	nmah_1973265	{'access': 'CC0'}	National Museum of American History	['Stencils (images)']	
edanmdm-nmah_1874079	NMAH	statue, Venus	nmah_1874079	{'access': 'CC0'}	National Museum of American History	['statue, Venus']	
edanmdm-nmah_1106299	NMAH	5.00 Cent	nmah_1106299	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	
edanmdm-nmah_1114644	NMAH	0.25 Real	nmah_1114644	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1860
edanmdm-nmah_1110970	NMAH	4.00 Real	nmah_1110970	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1790
edanmdm-nmah_905849	NMAH	War Cross, 2nd Class, Brunswick	nmah_905849	{'access': 'CC0'}	National Museum of American History	['Medals']	
edanmdm-nmah_1118076	NMAH	10.00 Centavo	nmah_1118076	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1915
edanmdm-nmah_1252016	NMAH	$5	nmah_1252016	{'access': 'CC0'}	National Museum of American History	['Paper money']	
edanmdm-nmah_1203521	NMAH	50 Dollars, Essex Bank, Massachusetts, United States, 1860	nmah_1203521	{'access': 'CC0'}	National Museum of American History	['note', 'Paper money']	1860
edanmdm-nmah_1030002	NMAH	Among the Berkshire Hills, 1886	nmah_1030002	{'access': 'CC0'}	National Museum of American History	['Albums']	1886
edanmdm-nmah_1386748	NMAH	The Ranchman	nmah_1386748	{'access': 'CC0'}	National Museum of American History	['Photographs']	1901
edanmdm-nmah_766583	NMAH	Magic Lantern, Small Metal	nmah_766583	{'access': 'CC0'}	National Museum of American History	['Magic Lantern']	
edanmdm-nmah_1896546	NMAH	Illustrations for book, The Eighth Art	nmah_1896546	{'access': 'CC0'}	National Museum of American History	['carbro print']	1937
edanmdm-nmah_1154058	NMAH	camera	nmah_1154058	{'access': 'CC0'}	National Museum of American History	['Cameras (photographic equipment)']	
edanmdm-nmah_1829105	NMAH	Dog pulling milk cart	nmah_1829105	{'access': 'CC0'}	National Museum of American History	['real photo postcard']	after 1907
edanmdm-nmah_535141	NMAH	button	nmah_535141	{'access': 'CC0'}	National Museum of American History	['Button']	
edanmdm-nmah_895246	NMAH	Microscope	nmah_895246	{'access': 'CC0'}	National Museum of American History	['Microscopes']	
edanmdm-nmah_1245849	NMAH	Fingertips (part 1); Fingertips (part 2)	nmah_1245849	{'access': 'CC0'}	National Museum of American History	['Sound recordings']	1963
edanmdm-nmah_1245852	NMAH	For Once In My Life; Angie Girl	nmah_1245852	{'access': 'CC0'}	National Museum of American History	['Sound recordings']	1968
edanmdm-nmah_1181347	NMAH	coin	nmah_1181347	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	205 - 129
edanmdm-nmah_1376731	NMAH	powder paper holder	nmah_1376731	{'access': 'CC0'}	National Museum of American History	['powder paper holder']	
edanmdm-nmah_1181022	NMAH	tumbler	nmah_1181022	{'access': 'CC0'}	National Museum of American History	['Tumblers (drinking glasses)']	1996 08 12 / 1996 08 12, 1996 08 16 / 1996 08 16
edanmdm-nmah_1337089	NMAH	Plumb Bob	nmah_1337089	{'access': 'CC0'}	National Museum of American History	['plumb bob']	
edanmdm-nmah_1181970	NMAH	button	nmah_1181970	{'access': 'CC0'}	National Museum of American History	['Button']	1996 08 30 / 1996 08 30
edanmdm-nmah_1099258	NMAH	1.00 Cent	nmah_1099258	{'access': 'CC0'}	National Museum of American History	['Coins (money)']	1858
edanmdm-nmah_1104660	NMAH	50 Cents, Hudson Sesquicentennial, United States, 1935	nmah_1104660	{'access': 'CC0'}	National Museum of American History	['coin, commemorative', 'Coins (money)']	1935
edanmdm-nmah_810011	NMAH	The Boke called the Pype or Tonne of the Lyfe of Perfection	nmah_810011	{'access': 'CC0'}	National Museum of American History	['Embossed', 'sheet (paper)', 'Print; Bookbinding; Chromolithograph', 'Chromolithographs', 'Prints']	1532
edanmdm-nmah_1402868	NMAH	photograph	nmah_1402868	{'access': 'CC0'}	National Museum of American History	['Photographs']	ca. December 1993
